Day,Timepoint,Sample,Colony,Treatment,Species,LifeStage,Tissue.Intensity,Symbiont.Intensity,Notes
14,Final,10a,10,Ambient,Pocillopora acuta,Adult,604.62,9177.68,
14,Final,10a,10,Ambient,Pocillopora acuta,Adult,663.93,10229.99,
14,Final,10a,10,Ambient,Pocillopora acuta,Adult,607.67,10125.36,
0,Initial,10a,10,Ambient,Pocillopora acuta,Adult,854.07,7832.75,
0,Initial,10a,10,Ambient,Pocillopora acuta,Adult,859.85,8902.65,
0,Initial,10a,10,Ambient,Pocillopora acuta,Adult,902.71,8431.44,
0,Initial,10b,10,High,Pocillopora acuta,Adult,853.83,8203.32,
0,Initial,10b,10,High,Pocillopora acuta,Adult,654.79,7901.24,
0,Initial,10b,10,High,Pocillopora acuta,Adult,679.07,8839.25,
14,Final,10b,10,High,Pocillopora acuta,Adult,769.23,3422.86,
14,Final,10b,10,High,Pocillopora acuta,Adult,656.54,3139.77,
14,Final,10b,10,High,Pocillopora acuta,Adult,706.89,3283.6,
0,Initial,11a,11,Ambient,Pocillopora acuta,Adult,740.09,7024.48,
0,Initial,11a,11,Ambient,Pocillopora acuta,Adult,658.79,5432.27,
0,Initial,11a,11,Ambient,Pocillopora acuta,Adult,671.03,6638.31,
14,Final,11a,11,Ambient,Pocillopora acuta,Adult,658.69,5526.01,
14,Final,11a,11,Ambient,Pocillopora acuta,Adult,555.7,4752.58,
14,Final,11a,11,Ambient,Pocillopora acuta,Adult,618.17,4433.82,
0,Initial,11b,11,High,Pocillopora acuta,Adult,760.13,7036.9,
0,Initial,11b,11,High,Pocillopora acuta,Adult,892.11,6439.87,
0,Initial,11b,11,High,Pocillopora acuta,Adult,1061.64,8162.17,
14,Final,11b,11,High,Pocillopora acuta,Adult,1065.94,2831.26,
14,Final,11b,11,High,Pocillopora acuta,Adult,1025.82,2899.56,
14,Final,11b,11,High,Pocillopora acuta,Adult,934.95,2291.61,
0,Initial,12a,12,Ambient,Pocillopora acuta,Adult,1003.36,9110.86,
0,Initial,12a,12,Ambient,Pocillopora acuta,Adult,830.32,9075.54,
