Timepoint,Sample,Colony,Treatment,Species,LifeStage,Black,White,Coral,White-Black,Coral-Black,Coral Percent White
Final,10a,10,Ambient,Pocillopora acuta,Adult,65.881,227.789,78.218,161.908,12.337,0.34337918
Final,10b,10,High,Pocillopora acuta,Adult,40.065,227.247,123.601,187.182,83.536,0.54390597
Final,11a,11,Ambient,Pocillopora acuta,Adult,42.64,219.082,98.432,176.442,55.792,0.449292959
Final,11b,11,High,Pocillopora acuta,Adult,31.707,220.18,133.632,188.473,101.925,0.60692161
Final,12a,12,Ambient,Pocillopora acuta,Adult,45.113,226.866,76.22,181.753,31.107,0.335969251
Final,12b,12,High,Pocillopora acuta,Adult,24.652,226.787,122.578,202.135,97.926,0.540498353
Final,13a,13,Ambient,Pocillopora acuta,Adult,35.891,224.034,120.157,188.143,84.266,0.536333771
Final,13b,13,High,Pocillopora acuta,Adult,11.869,225.91,114.327,214.041,102.458,0.506073215
Final,14a,14,Ambient,Pocillopora acuta,Adult,71.888,226.256,103.307,154.368,31.419,0.456593416
Final,14b,14,High,Pocillopora acuta,Adult,29.994,224.579,135.902,194.585,105.908,0.605141175
Final,15a,15,Ambient,Montipora capitata,Juvenile,41.389,216.902,81.451,175.513,40.062,0.37551982
Final,15b,15,High,Montipora capitata,Juvenile,13.894,208.289,56.407,194.395,42.513,0.270811229
Final,16a,16,Ambient,Montipora capitata,Juvenile,12.917,199.365,46.493,186.448,33.576,0.233205427
Final,16b,16,High,Montipora capitata,Juvenile,15.016,207.562,69.544,192.546,54.528,0.335051695
Final,17a,17,Ambient,Montipora capitata,Juvenile,15.447,215.687,44.724,200.24,29.277,0.20735603
Final,17b,17,High,Montipora capitata,Juvenile,53.758,222.132,96.803,168.374,43.045,0.435790431
Final,18a,18,Ambient,Montipora capitata,Juvenile,12.951,208.216,48.309,195.265,35.358,0.23201387
Final,18b,18,High,Montipora capitata,Juvenile,15.488,217.62,71.902,202.132,56.414,0.330401617
Final,19a,19,Ambient,Montipora capitata,Juvenile,6.528,214.211,39.645,207.683,33.117,0.185074529
Final,19b,19,High,Montipora capitata,Juvenile,10.603,208.833,90.91,198.23,80.307,0.435323919
Final,1b,1,High,Montipora capitata,Adult,5.604,209.52,92.683,203.916,87.079,0.442358725
Final,20a,20,Ambient,Montipora capitata,Juvenile,9.789,215.233,47.904,205.444,38.115,0.222568101
Final,20b,20,High,Montipora capitata,Juvenile,8.066,219.627,42.036,211.561,33.97,0.191397233
Final,21b,21,High,Montipora capitata,Juvenile,11.141,195.253,67.457,184.112,56.316,0.345485089
Final,22a,22,Ambient,Montipora capitata,Juvenile,38.465,201.253,51.154,162.788,12.689,0.254177577
Final,22b,22,High,Montipora capitata,Juvenile,9.976,210.612,66.083,200.636,56.107,0.313766547
Final,23b,23,High,Montipora capitata,Juvenile,5.454,206.106,60.594,200.652,55.14,0.293994352
Final,24a,24,Ambient,Pocillopora acuta,Juvenile,53.21,227.725,94.587,174.515,41.377,0.415356241
Final,24b,24,High,Pocillopora acuta,Juvenile,33.18,228.802,128.707,195.622,95.527,0.562525677
Final,25a,25,Ambient,Pocillopora acuta,Juvenile,42.811,224.373,104.725,181.562,61.914,0.466745107
Final,25b,25,High,Pocillopora acuta,Juvenile,52.404,218.888,109.493,166.484,57.089,0.500223859
Final,26a,26,Ambient,Pocillopora acuta,Juvenile,50.044,224.519,118.237,174.475,68.193,0.526623582
Final,26b,26,High,Pocillopora acuta,Juvenile,45.585,232.261,124.84,186.676,79.255,0.537498762
Final,27a,27,Ambient,Pocillopora acuta,Juvenile,45.104,224.641,92.729,179.537,47.625,0.412787514
Final,27b,27,High,Pocillopora acuta,Juvenile,32.638,229.356,107.452,196.718,74.814,0.468494393
Final,28a,28,Ambient,Pocillopora acuta,Juvenile,44.978,228.539,92.182,183.561,47.204,0.403353476
Final,28b,28,High,Pocillopora acuta,Juvenile,39.109,220.768,104.402,181.659,65.293,0.472903682
Final,29a,29,Ambient,Pocillopora acuta,Juvenile,40.587,230.642,128.332,190.055,87.745,0.556412102
Final,29b,29,High,Pocillopora acuta,Juvenile,55.886,239.236,124.051,183.35,68.165,0.51852982
Final,2a,2,Ambient,Montipora capitata,Adult,14.676,209.755,47.835,195.079,33.159,0.228051775
Final,2b,2,High,Montipora capitata,Adult,6.022,207.658,70.08,201.636,64.058,0.337477969
