Sample,Species,Tissue,Area,Tissue.Intensity,Tissue.StDev,Symbiont.Intensity,Symbiont.StDev
MCAP9,MCAP,Colony,6627409.48,8318.14,2579.93,6057.71,2692.87
MCAP9,MCAP,Circle,463567.8,8528.31,2057.76,6200.02,2756.73
MCAP9,MCAP,Circle,455609.13,7304.04,2162.17,6246.44,2469.6
MCAP9,MCAP,Circle,479606.99,10175.69,1960.97,5946.92,2206.51
MCAP11,MCAP,Colony,5680982.68,3552.03,1766.97,5582.08,2630.63
MCAP11,MCAP,Circle,343037.73,4420.04,1038.77,4732.18,2149.96
MCAP11,MCAP,Circle,368078.98,3622.85,1603.59,4417.93,2464.32
MCAP11,MCAP,Circle,359290.17,3311.74,1930.94,4918.42,229.53
MCAP40,MCAP,Colony,6837183.27,8949.45,3049.99,5319.29,2621.89
MCAP40,MCAP,Circle,510992.33,10374.86,2835.73,5608.29,2605.14
MCAP40,MCAP,Circle,516727.14,9840.95,2460.9,5681.68,2649.32
MCAP40,MCAP,Circle,516056.94,9372.61,3012.74,5489.87,2337.15
MCAP64,MCAP,Colony,6810976.78,5027.65,2585.63,2973.9,2213.3
MCAP64,MCAP,Circle,609725.54,5796.21,2479.72,3757.09,1353.29
MCAP64,MCAP,Circle,630722.72,5486.79,2491.09,3318.01,2131.82
MCAP64,MCAP,Circle,603328.14,5392.58,2997.27,4204.01,2790.48
MCAP145,MCAP,Colony,4868193.01,3842.88,1752.59,4104.98,2648.87
MCAP145,MCAP,Circle,479599.38,4873.58,2024.82,3518.41,2183.29
MCAP145,MCAP,Circle,488890.84,3649.78,833.51,4722.82,2802.23
MCAP145,MCAP,Circle,462897.59,3536.41,757.9,5751.2,2425.81
MCAP1753,MCAP,Colony,7033880.48,6197.2,2926.14,3595.85,2070.24
MCAP1753,MCAP,Circle,541060.11,8637.93,2894.59,3460.17,1731.87
MCAP1753,MCAP,Circle,575628.92,6534.34,2847.97,3188.81,1985.19
MCAP1753,MCAP,Circle,560267.55,5045.6,2024.64,3963.43,1866.95
PCOM3,PCOM,Colony,6551326.11,3634.88,1526.43,4811.38,2170.7
PCOM3,PCOM,Circle,579977.63,4266.24,1486.61,3937.06,2348.88
PCOM3,PCOM,Circle,563283.46,3537.5,1336.04,4803.04,2013.75
PCOM3,PCOM,Circle,483468.28,3289.97,1407.81,4503.66,2226.61
PCOM19,PCOM,Colony,4223898.65,8666.25,3123.65,1581.99,713.7
PCOM19,PCOM,Circle,374925.73,8961.78,2312.86,1809.11,752.78
PCOM19,PCOM,Circle,381871.47,10093.56,2468.97,1708.86,727.9
PCOM19,PCOM,Circle,368337.93,8737.44,2970.99,1555.72,684.64
PCOM25,PCOM,Colony,7439856.44,9098.44,2669.44,2087.22,947.31
PCOM25,PCOM,Circle,420057.86,8868.69,2348.54,1994.43,877.93
PCOM25,PCOM,Circle,405846.49,8720.68,2130.2,1967.87,808.76
PCOM25,PCOM,Circle,405313.38,10385.94,3101.24,2541.06,1158.07
PCOM31,PCOM,Colony,6223192.8,5569.42,2856.71,4704.63,4425.65
PCOM31,PCOM,Circle,436401.69,5863.49,2801.09,3764.41,1877.33
PCOM31,PCOM,Circle,424178.09,8102.12,2546.6,4884.88,1587.03
PCOM31,PCOM,Circle,435068.81,6426.81,2448.74,4221.03,1615.7
PCOM74,PCOM,Colony,7156185.06,9786.41,3639.82,1821.73,1322.73
PCOM74,PCOM,Circle,592163.15,10367.52,3677.86,1672.29,1215.52
PCOM74,PCOM,Circle,600723.49,9176.96,2995.31,2023.81,1473.38
PCOM74,PCOM,Circle,575255.74,11031.22,3567.55,2064.82,1374.82
PCOM107,PCOM,Colony,6965870.02,7354.44,3464.6,3194.87,1581.59
PCOM107,PCOM,Circle,701954.73,8836.76,3056.54,3140.31,1321.76
PCOM107,PCOM,Circle,709532.6,7475.68,2853.36,2814.92,1267.96
PCOM107,PCOM,Circle,687895.68,8103.17,2660.64,3051.1,1235.8
PACU2,PACU,Colony,3782226.71,5511.42,1885.11,3904.94,4870.95
PACU2,PACU,Polyp,166918.83,6881.11,1720.11,1597.43,1530.76
PACU2,PACU,Polyp,143461.7,7314.34,1840.33,1342.38,1111.77
PACU2,PACU,Polyp,122327.43,7024.08,1636.85,1509.14,1081.6
PACU2,PACU,Connecting,219720.23,4524.84,770.03,5671.56,5446.59
PACU2,PACU,Connecting,108573.02,4997.22,832.41,5577.23,5758.62
PACU2,PACU,Connecting,46449.69,5326.93,839.11,6594.38,6225.04
PACU4,PACU,Colony,4516983.35,9220.64,2695.21,6520.17,6019.71
PACU4,PACU,Polyp,156705.84,9608.74,1528.66,5528.13,7586.73
PACU4,PACU,Polyp,268310.01,10820.67,2443.15,6812.32,6361.37
PACU4,PACU,Polyp,142502.09,8439.1,1361.88,5470.22,7564.22
PACU4,PACU,Connecting,115907.18,7895.07,1161.76,7549.93,6157.29
PACU4,PACU,Connecting,83562.23,8417.22,1168.99,5077.73,6214.16
PACU4,PACU,Connecting,63471.35,8616.16,1235.45,6958.17,6510.19
PACU18,PACU,Colony,5575562.66,7897.15,1598.48,4533.13,4164.29
PACU18,PACU,Polyp,172615.56,8950.99,1723.53,4023.12,3877.73
PACU18,PACU,Polyp,150651.16,8594.97,1578.59,4082.41,4302.96
